train_lang,test_lang,acc,f1
af,af,0.9783366991004222,0.9137529137529137
af,ar,0.7936880745360937,0.54684703433923
af,bg,0.9039625756741883,0.7669650789311829
af,bn,0.7090116945654666,0.5616319444444444
af,de,0.9212719186135678,0.7317038256450632
af,el,0.9153074167204432,0.738315481986368
af,en,0.8121212873745902,0.6116119227713881
af,es,0.8549643240218253,0.742525308012242
af,et,0.9197802061804636,0.7631231016616045
af,eu,0.9146871394528849,0.6805305507587169
af,fa,0.7027338081497173,0.4558275108234386
af,fi,0.9205581751597692,0.7698808534220005
af,fr,0.8513485781295808,0.7066483128092563
af,he,0.8404251603664854,0.5497354891587811
af,hi,0.8162878787878788,0.6629392971246005
af,hu,0.9287661050545094,0.783078813410567
af,id,0.716553873984462,0.5010400722163351
af,it,0.8866320854946566,0.7416966053229708
af,ja,0.7539455664729893,0.17042127278159544
af,jv,0.8102564102564103,0.5975103734439834
af,ka,0.877696866644488,0.6596085478767043
af,kk,0.912178131608409,0.6959403479701739
af,ko,0.8343401084346298,0.5406767458603311
af,ml,0.8643416370106761,0.6183936745734498
af,mr,0.8580736543909349,0.6427161468614291
af,ms,0.7927390489176751,0.5804255319148937
af,my,0.8194607268464243,0.47698744769874474
af,nl,0.9028593159508473,0.7436094349972574
af,pt,0.8341079951336682,0.7027680223556512
af,ru,0.8232615717355113,0.5930723962241795
af,sw,0.7676947762524514,0.637765735723218
af,ta,0.8243521184697655,0.5323383084577115
af,te,0.8603960396039604,0.5385878489326766
af,th,0.5236505181310391,0.02103712509853076
af,tl,0.6977420076011626,0.5619307832422586
af,tr,0.9068615830370078,0.7870083959346001
af,ur,0.8010741993236523,0.6165273909006499
af,vi,0.7530752701566441,0.550006165988408
af,yo,0.5071574642126789,0.2819383259911894
af,zh,0.7814837000776855,0.20347977965873976
ar,af,0.905727923627685,0.6923076923076923
ar,ar,0.957023533620569,0.9003436426116839
ar,bg,0.9213467014428944,0.8043455839378417
ar,bn,0.7709240999770695,0.634558512885509
ar,de,0.9005981289300138,0.6892714440419733
ar,el,0.9141391664255991,0.7282517649874356
ar,en,0.7639440746995133,0.5337026777469991
ar,es,0.8245892210356138,0.693229039354681
ar,et,0.8828508842493472,0.6975101921956902
ar,eu,0.8537216549314758,0.5881296826986154
ar,fa,0.7356429202875586,0.43060407259095174
ar,fi,0.8989923167141387,0.733425463307466
ar,fr,0.8448548812664908,0.7113154895256062
ar,he,0.8626378104008289,0.619455859430353
ar,hi,0.8359159779614325,0.6837085082029759
ar,hu,0.9104761690242364,0.739523945267959
ar,id,0.6758354465136562,0.49459715639810425
ar,it,0.8638585088431973,0.7068474158514981
ar,ja,0.7465895946071718,0.2051341781587775
ar,jv,0.7504273504273504,0.4953271028037383
ar,ka,0.8650673369558521,0.6628372760940218
ar,kk,0.8451299912924493,0.5338521400778211
ar,ko,0.8538236823211943,0.5835421605147308
ar,ml,0.8872597864768683,0.6721375537319265
ar,mr,0.8848441926345609,0.6765263557072432
ar,ms,0.6347366626896199,0.46835443037974683
ar,my,0.8253223915592028,0.59375
ar,nl,0.888574620302807,0.7237045703287164
ar,pt,0.8128333905231306,0.696056237340641
ar,ru,0.8054326327921569,0.504771768883628
ar,sw,0.7111784631841683,0.5472197705207413
ar,ta,0.8634306869600987,0.6163472819710598
ar,te,0.8818069306930693,0.5949605114704777
ar,th,0.7054764393448516,0.017239746140001896
ar,tl,0.5577911915940085,0.4095796676441838
ar,tr,0.8618332674832082,0.6873531863302266
ar,ur,0.8518002784961209,0.6207505518763796
ar,vi,0.7628382797172308,0.5565712827926358
ar,yo,0.4274028629856851,0.2528735632183908
ar,zh,0.8047191621194111,0.3067256523690453
bg,af,0.914815494767762,0.7471143756558237
bg,ar,0.7592353517599664,0.5434561195043286
bg,bg,0.9759039027541815,0.9339935144182154
bg,bn,0.6801192387067186,0.5347732181425486
bg,de,0.8947497571698788,0.6760306040881582
bg,el,0.9229844900865618,0.7580737940668913
bg,en,0.7537250422171451,0.5421804511278197
bg,es,0.7922709819832424,0.6533901135604544
bg,et,0.8858705741123473,0.699244409006341
bg,eu,0.846820715756785,0.5532923487149101
bg,fa,0.6451553717078378,0.41388495080981225
bg,fi,0.9010387993968262,0.7304894542530249
bg,fr,0.7873350923482849,0.6279201817001947
bg,he,0.8330558692387394,0.5429914498278863
bg,hi,0.8126721763085399,0.6658832745789268
bg,hu,0.9129651319938733,0.7461448083419003
bg,id,0.6821507599373314,0.5069272276505761
bg,it,0.8546090869320667,0.6795970768319178
bg,ja,0.716670433846113,0.23645345155161496
bg,jv,0.764102564102564,0.5096153846153846
bg,ka,0.9129856208183935,0.7286809575966202
bg,kk,0.8432640875730812,0.5026737967914439
bg,ko,0.8511623301067016,0.5538072897870805
bg,ml,0.878576512455516,0.6663872590108969
bg,mr,0.8668555240793201,0.6687598116169545
bg,ms,0.6541673768535878,0.44341801385681295
bg,my,0.8300117233294255,0.5972222222222222
bg,nl,0.8777125472393221,0.7082441738318485
bg,pt,0.7937735907914029,0.6629074185162968
bg,ru,0.8890280169040539,0.7171330465327387
bg,sw,0.6867534319843109,0.4931506849315069
bg,ta,0.8450569038804333,0.5821443130860172
bg,te,0.8665841584158416,0.5462698736241336
bg,th,0.33821588872124975,0.022622570705067575
bg,tl,0.5369997764363962,0.39253279515640765
bg,tr,0.8706835242986962,0.6932956196009479
bg,ur,0.7598965585836484,0.5639614855570838
bg,vi,0.757793279561521,0.5632290153615915
bg,yo,0.37423312883435583,0.20359281437125745
bg,zh,0.7440027704720098,0.28397726236434934
bn,af,0.8590967505048651,0.5403899721448469
bn,ar,0.6772487595464373,0.3567345260127493
bn,bg,0.8835036251824555,0.7216587318015594
bn,bn,0.9784453107085531,0.960035922766053
bn,de,0.8796891774449159,0.623369829229102
bn,el,0.8699459267006386,0.6144936609798092
bn,en,0.7812034369722857,0.5526825878652671
bn,es,0.737847627042236,0.5506168933881682
bn,et,0.8582230857765182,0.6277212558801006
bn,eu,0.8548861884172049,0.549481229956612
bn,fa,0.6655046453054893,0.36824281951586607
bn,fi,0.8735728476028627,0.6621493624772313
bn,fr,0.8108765757842274,0.6468065011215616
bn,he,0.8076766359709885,0.4922195219268018
bn,hi,0.8171487603305785,0.6698795180722893
bn,hu,0.8777705198666547,0.661899897854954
bn,id,0.6464070550611342,0.4029981146824849
bn,it,0.8299106305855884,0.6323999688011855
